,input,filtered,denoisedF,denoisedR,merged,nonchim
WS-25-1-B_R1_001.fastq.gz,33584,23905,13544,21695,2264,2209
WS-25-2-B_R1_001.fastq.gz,45842,33760,1722,4947,59,59
WS-25-3-B_R1_001.fastq.gz,35764,24237,19627,28716,2337,2337
WS-25-4-B_R1_001.fastq.gz,18625,6115,6358,10935,684,684
WS-25-5-B_R1_001.fastq.gz,44128,31776,17584,27408,2814,2773
WS-2-5-B_R1_001.fastq.gz,18752,12850,14666,23192,1703,1703
WS-26-1-B_R1_001.fastq.gz,42682,30352,4390,9351,397,397
WS-26-2-B_R1_001.fastq.gz,34778,25672,1,2,0,0
WS-26-3-B_R1_001.fastq.gz,15416,11446,3,3,3,3
WS-26-4-B_R1_001.fastq.gz,11,7,2,2,2,2
WS-26-5-B_R1_001.fastq.gz,19,11,1,1,0,0
WS-27-1-B_R1_001.fastq.gz,8,4,2,2,2,2
WS-27-2-B_R1_001.fastq.gz,17,6,1,2,0,0
WS-27-3-B_R1_001.fastq.gz,10,8,1,1,0,0
WS-27-4-B_R1_001.fastq.gz,14,8,1,1,0,0
WS-27-5-B_R1_001.fastq.gz,10,6,1,1,0,0
WS-28-1-B_R1_001.fastq.gz,9,8,1,1,0,0
WS-28-2-B_R1_001.fastq.gz,11,6,1,1,0,0
WS-28-3-B_R1_001.fastq.gz,8,4,1,1,0,0
WS-28-4-B_R1_001.fastq.gz,9,5,1,1,0,0
WS-28-5-B_R1_001.fastq.gz,14,4,1,2,0,0
WS-29-1-B_R1_001.fastq.gz,12,9,1,1,0,0
WS-29-2-B_R1_001.fastq.gz,13,11,1,1,0,0
WS-29-3-B_R1_001.fastq.gz,12,6,9701,20262,747,747
WS-29-4-B_R1_001.fastq.gz,10,7,15858,24003,2271,2271
WS-29-5-B_R1_001.fastq.gz,31320,23911,11496,21787,1307,1307
WS-30-1-B_R1_001.fastq.gz,36817,26730,11029,21790,1443,1443
WS-30-2-B_R1_001.fastq.gz,37290,25375,6998,12745,91,91
WS-30-3-B_R1_001.fastq.gz,36021,25499,16125,26813,1616,1616
WS-30-4-B_R1_001.fastq.gz,23896,15855,16582,20969,4885,4587
WS-30-5-B_R1_001.fastq.gz,41618,29749,12568,24230,1392,1392
WS-3-1-B_R1_001.fastq.gz,29410,22552,15535,19157,4882,4882
WS-3-2-B_R1_001.fastq.gz,34430,27406,12365,17685,2587,2587
WS-3-3-B_R1_001.fastq.gz,27181,20570,15738,22022,2687,2687
WS-3-4-B_R1_001.fastq.gz,29080,19466,324,570,310,310
WS-3-5-B_R1_001.fastq.gz,29605,23770,1107,1546,434,434
WS-4-1-B_R1_001.fastq.gz,2480,850,28750,42506,4313,4280
WS-4-2-B_R1_001.fastq.gz,3186,1836,4395,5478,2387,2387
WS-4-3-B_R1_001.fastq.gz,69065,45995,20651,24315,5665,5620
WS-4-4-B_R1_001.fastq.gz,8964,6151,2656,3514,1213,1213
WS-4-5-B_R1_001.fastq.gz,63034,26030,30080,38379,5376,5376
WS-5-1-B_R1_001.fastq.gz,6049,4095,3064,4053,1168,1168
WS-5-2-B_R1_001.fastq.gz,78400,40729,90,199,44,44
WS-5-3-B_R1_001.fastq.gz,6869,4736,4572,5531,2773,2773
WS-5-4-B_R1_001.fastq.gz,618,323,18232,22731,4190,4190
WS-5-5-B_R1_001.fastq.gz,20215,6176,5725,7025,2853,2853
WS-6-1-B_R1_001.fastq.gz,49614,24607,17974,20274,8800,8782
WS-6-2-B_R1_001.fastq.gz,12984,7856,20328,23039,10296,10250
WS-6-3-B_R1_001.fastq.gz,46534,21501,9811,11793,5467,5467
WS-6-4-B_R1_001.fastq.gz,41679,24223,6182,7434,3240,3240
WS-6-5-B_R1_001.fastq.gz,23572,12789,4405,5473,2290,2290
WS-7-1-B_R1_001.fastq.gz,13945,8277,966,1418,273,273
WS-7-2-B_R1_001.fastq.gz,11535,6087,839,1305,119,119
WS-7-3-B_R1_001.fastq.gz,2658,1851,19692,28547,2858,2858
WS-7-4-B_R1_001.fastq.gz,2773,1788,10382,12313,5930,5930
WS-7-5-B_R1_001.fastq.gz,43921,31694,21815,28174,5430,5278
WS-8-1-B_R1_001.fastq.gz,22266,13237,19699,24484,5813,5767
WS-8-2-B_R1_001.fastq.gz,44342,30504,17663,21556,6722,6692
WS-8-3-B_R1_001.fastq.gz,42239,26300,393,645,79,79
WS-8-4-B_R1_001.fastq.gz,31856,22934,680,1366,336,336
WS-8-5-B_R1_001.fastq.gz,2091,1081,20810,26925,4276,4276
WS-9-1-B_R1_001.fastq.gz,2830,1815,786,1053,118,118
WS-9-2-B_R1_001.fastq.gz,46790,29323,378,682,74,74
WS-9-3-B_R1_001.fastq.gz,3035,1751,18601,21137,331,331
WS-9-4-B_R1_001.fastq.gz,2419,1093,18415,18718,8672,7107
WS-9-5-B_R1_001.fastq.gz,46489,28073,11470,11982,3871,3871
WS-Neg-1-B_R1_001.fastq.gz,25031,19089,16031,17195,5081,4735
WS-Neg-2-B_R1_001.fastq.gz,16090,12435,41593,41708,35593,29688
WS-Neg-3-B_R1_001.fastq.gz,26061,17814,40,62,9,9
WS-Pos-1-B_R1_001.fastq.gz,53582,42012,10,30,10,10
